Basis,Method,X,Angle,Energy,nab,nai,nij
dz,mp3b,1.4,16,-0.028507962382201157,1888,793,173
dz,mp3d,1.4,16,-0.044257399046410184,1888,793,173
dz,mp2a,1.4,17,-2.1611282371440943,1888,803,172
dz,mp2b,1.4,17,-2.1952357343829147,1888,803,172
dz,mp3b,1.4,17,-0.02979536471718658,1888,803,172
dz,mp3d,1.4,17,-0.045384537867828645,1888,803,172
dz,mp2a,1.4,18,-2.161392263993304,1884,796,172
dz,mp2b,1.4,18,-2.1962118544584333,1884,796,172
dz,mp3b,1.4,18,-0.030956396714546253,1884,796,172
dz,mp3d,1.4,18,-0.04680463633142984,1884,796,172
dz,mp2a,1.4,19,-2.165394017018628,1887,793,173
dz,mp2b,1.4,19,-2.200267006667176,1887,793,173
dz,mp3b,1.4,19,-0.029658887725631605,1887,793,173
dz,mp3d,1.4,19,-0.045634537471345354,1887,793,173
dz,mp2a,1.4,20,-2.159897577055252,1881,801,173
dz,mp2b,1.4,20,-2.194052359312723,1881,801,173
dz,mp3b,1.4,20,-0.032250290982459046,1881,801,173
dz,mp3d,1.4,20,-0.04799819342782663,1881,801,173
dz,mp2a,1.4,21,-2.16397994036966,1897,794,174
dz,mp2b,1.4,21,-2.1984599066117445,1897,794,174
dz,mp3b,1.4,21,-0.030242364141638972,1897,794,174
dz,mp3d,1.4,21,-0.0460716794457707,1897,794,174
dz,mp2a,1.4,22,-2.160149473463452,1874,800,172
dz,mp2b,1.4,22,-2.1944582267522423,1874,800,172
dz,mp3b,1.4,22,-0.032511105092343534,1874,800,172
dz,mp3d,1.4,22,-0.048297549809607265,1874,800,172
dz,mp2a,1.4,23,-2.1642148666329932,1891,794,173
dz,mp2b,1.4,23,-2.199055446881128,1891,794,173
dz,mp3b,1.4,23,-0.030435084906986154,1891,794,173
dz,mp3d,1.4,23,-0.04635625540569435,1891,794,173
dz,mp2a,1.4,24,-2.159642617341003,1886,795,172
dz,mp2b,1.4,24,-2.1940947448792643,1886,795,172
dz,mp3b,1.4,24,-0.032225770728325887,1886,795,172
dz,mp3d,1.4,24,-0.048040873920950994,1886,795,172
dz,mp2a,1.4,25,-2.1619035608192787,1883,793,170
dz,mp2b,1.4,25,-2.196640853515359,1883,793,170
dz,mp3b,1.4,25,-0.03079453822754674,1883,793,170
dz,mp3d,1.4,25,-0.04675885906428151,1883,793,170
dz,mp2a,1.4,26,-2.1622022806669,1883,795,173
dz,mp2b,1.4,26,-2.196594574379978,1883,795,173
dz,mp3b,1.4,26,-0.03166171499391415,1883,795,173
dz,mp3d,1.4,26,-0.04752307558601018,1883,795,173
dz,mp2a,1.4,27,-2.1622181486583885,1885,797,172
dz,mp2b,1.4,27,-2.1967911265613393,1885,797,172
dz,mp3b,1.4,27,-0.03125543885932042,1885,797,172
dz,mp3d,1.4,27,-0.04711735845838022,1885,797,172
dz,mp2a,1.4,28,-2.162338500744425,1888,802,172
dz,mp2b,1.4,28,-2.1966791534523655,1888,802,172
dz,mp3b,1.4,28,-0.031025979700779943,1888,802,172
dz,mp3d,1.4,28,-0.046885243940967825,1888,802,172
dz,mp2a,1.4,29,-2.161790371725555,1892,791,172
dz,mp2b,1.4,29,-2.1966331369542025,1892,791,172
dz,mp3b,1.4,29,-0.031716413557632855,1892,791,172
dz,mp3d,1.4,29,-0.04753247755537027,1892,791,172
dz,mp2a,1.4,30,-2.162729785923852,1879,790,171
dz,mp2b,1.4,30,-2.197413524349906,1879,790,171
dz,mp3b,1.4,30,-0.03159675240406484,1879,790,171
dz,mp3d,1.4,30,-0.04760486139655465,1879,790,171
dz,mp2a,1.4,31,-2.155702294899033,1885,798,173
dz,mp2b,1.4,31,-2.189973579461997,1885,798,173
dz,mp3b,1.4,31,-0.028503852766016108,1885,798,173
dz,mp3d,1.4,31,-0.04412129196218004,1885,798,173
dz,mp2a,1.6,15,-2.1663200944550134,2125,918,197
dz,mp2b,1.6,15,-2.195492016778515,2125,918,197
dz,mp3b,1.6,15,-0.03311213928776188,2125,918,197
dz,mp3d,1.6,15,-0.0477829194055604,2125,918,197
dz,mp2a,1.6,14,-2.16476976443136,2121,921,196
dz,mp2b,1.6,14,-2.1936151078672115,2121,921,196
